2024-12-05 02:35:54,281 p=1579080 u=root n=ansible | TASK [echo -n > output.log] *************************************************************************************************************************************************************************
2024-12-05 03:02:23,865 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.6.2)
2024-12-05 03:02:24,340 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.6.3)
2024-12-05 03:02:24,811 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.6.4)
2024-12-05 03:02:25,284 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.7.0)
2024-12-05 03:02:25,770 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.7.1)
2024-12-05 03:02:26,245 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.7.2)
2024-12-05 03:02:26,732 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.7.3)
2024-12-05 03:02:27,212 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.7.4)
2024-12-05 03:02:27,708 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.7.5)
2024-12-05 03:02:27,997 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Read versions from file] ************************************************************************************************************************************************
2024-12-05 03:02:27,998 p=1579080 u=root n=ansible | ok: [localhost]
2024-12-05 03:02:28,086 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Set version variable] ***************************************************************************************************************************************************
2024-12-05 03:02:28,087 p=1579080 u=root n=ansible | ok: [localhost]
2024-12-05 03:02:28,395 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Create directories for Bitbucket versions] ******************************************************************************************************************************
2024-12-05 03:02:28,396 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.0)
2024-12-05 03:02:28,670 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.1)
2024-12-05 03:02:28,934 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.2)
2024-12-05 03:02:29,197 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.3)
2024-12-05 03:02:29,452 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.4)
2024-12-05 03:02:29,709 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.5)
2024-12-05 03:02:29,967 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.6)
2024-12-05 03:02:30,230 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.7)
2024-12-05 03:02:30,496 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.0)
2024-12-05 03:02:30,745 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.1)
2024-12-05 03:02:30,995 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.2)
2024-12-05 03:02:31,254 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.3)
2024-12-05 03:02:31,506 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.4)
2024-12-05 03:02:31,763 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.5)
2024-12-05 03:02:32,014 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.6)
2024-12-05 03:02:32,272 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.7)
2024-12-05 03:02:32,518 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.8)
2024-12-05 03:02:32,766 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.9)
2024-12-05 03:02:33,020 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.10)
2024-12-05 03:02:33,292 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.11)
2024-12-05 03:02:33,564 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.12)
2024-12-05 03:02:33,812 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.13)
2024-12-05 03:02:34,067 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.14)
2024-12-05 03:02:34,329 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.15)
2024-12-05 03:02:34,577 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.16)
2024-12-05 03:02:34,831 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.17)
2024-12-05 03:02:35,086 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.18)
2024-12-05 03:02:35,354 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.19)
2024-12-05 03:02:35,617 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.20)
2024-12-05 03:02:35,883 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.21)
2024-12-05 03:02:36,140 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.22)
2024-12-05 03:02:36,389 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.0)
2024-12-05 03:02:36,636 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.1)
2024-12-05 03:02:36,893 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.2)
2024-12-05 03:02:37,139 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.3)
2024-12-05 03:02:37,389 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.4)
2024-12-05 03:02:37,647 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.5)
2024-12-05 03:02:37,894 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.6)
2024-12-05 03:02:38,152 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.0)
2024-12-05 03:02:38,412 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.1)
2024-12-05 03:02:38,669 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.2)
2024-12-05 03:02:38,917 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.3)
2024-12-05 03:02:39,169 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.4)
2024-12-05 03:02:39,449 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.5)
2024-12-05 03:02:39,693 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.6)
2024-12-05 03:02:39,936 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.0)
2024-12-05 03:02:40,181 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.1)
2024-12-05 03:02:40,435 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.2)
2024-12-05 03:02:40,684 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.3)
2024-12-05 03:02:40,936 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.4)
2024-12-05 03:02:41,191 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.5)
2024-12-05 03:02:41,447 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.6)
2024-12-05 03:02:41,697 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.0)
2024-12-05 03:02:41,950 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.1)
2024-12-05 03:02:42,209 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.2)
2024-12-05 03:02:42,467 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.3)
2024-12-05 03:02:42,718 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.4)
2024-12-05 03:02:42,971 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.5)
2024-12-05 03:02:43,224 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.6)
2024-12-05 03:02:43,473 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.0)
2024-12-05 03:02:43,731 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.1)
2024-12-05 03:02:43,984 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.2)
2024-12-05 03:02:44,236 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.3)
2024-12-05 03:02:44,491 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.4)
2024-12-05 03:02:44,755 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.5)
2024-12-05 03:02:45,036 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.6)
2024-12-05 03:02:45,297 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.0)
2024-12-05 03:02:45,546 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.1)
2024-12-05 03:02:45,797 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.2)
2024-12-05 03:02:46,062 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.3)
2024-12-05 03:02:46,333 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.4)
2024-12-05 03:02:46,631 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.5)
2024-12-05 03:02:46,886 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.0)
2024-12-05 03:02:47,145 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.1)
2024-12-05 03:02:47,400 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.2)
2024-12-05 03:02:47,650 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.3)
2024-12-05 03:02:47,920 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.4)
2024-12-05 03:02:48,456 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy .env with link from template to each version directory] ************************************************************************************************************
2024-12-05 03:02:48,457 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.0)
2024-12-05 03:02:48,928 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.1)
2024-12-05 03:02:49,415 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.2)
2024-12-05 03:02:49,884 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.3)
2024-12-05 03:02:50,367 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.4)
2024-12-05 03:02:50,835 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.5)
2024-12-05 03:02:51,323 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.6)
2024-12-05 03:02:51,793 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.7)
2024-12-05 03:02:52,267 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.0)
2024-12-05 03:02:52,745 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.1)
2024-12-05 03:02:53,218 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.2)
2024-12-05 03:02:53,686 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.3)
2024-12-05 03:02:54,169 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.4)
2024-12-05 03:02:54,654 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.5)
2024-12-05 03:02:55,136 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.6)
2024-12-05 03:02:55,610 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.7)
2024-12-05 03:02:56,104 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.8)
2024-12-05 03:02:56,653 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.9)
2024-12-05 03:02:57,117 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.10)
2024-12-05 03:02:57,609 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.11)
2024-12-05 03:02:58,085 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.12)
2024-12-05 03:02:58,588 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.13)
2024-12-05 03:02:59,083 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.14)
2024-12-05 03:02:59,618 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.15)
2024-12-05 03:03:00,102 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.16)
2024-12-05 03:03:00,592 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.17)
2024-12-05 03:03:01,063 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.18)
2024-12-05 03:03:01,554 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.19)
2024-12-05 03:03:02,073 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.20)
2024-12-05 03:03:02,598 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.21)
2024-12-05 03:03:03,106 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.22)
2024-12-05 03:03:03,637 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.0)
2024-12-05 03:03:04,162 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.1)
2024-12-05 03:03:04,688 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.2)
2024-12-05 03:03:05,220 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.3)
2024-12-05 03:03:05,715 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.4)
2024-12-05 03:03:06,263 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.5)
2024-12-05 03:03:06,793 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.6)
2024-12-05 03:03:07,338 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.0)
2024-12-05 03:03:07,844 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.1)
2024-12-05 03:03:08,356 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.2)
2024-12-05 03:03:08,843 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.3)
2024-12-05 03:03:09,348 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.4)
2024-12-05 03:03:09,881 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.5)
2024-12-05 03:03:10,362 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.6)
2024-12-05 03:03:10,851 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.0)
2024-12-05 03:03:11,337 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.1)
2024-12-05 03:03:11,804 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.2)
2024-12-05 03:03:12,278 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.3)
2024-12-05 03:03:12,759 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.4)
2024-12-05 03:03:13,229 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.5)
2024-12-05 03:03:13,697 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.6)
2024-12-05 03:03:14,179 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.0)
2024-12-05 03:03:14,645 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.1)
2024-12-05 03:03:15,127 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.2)
2024-12-05 03:03:15,634 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.3)
2024-12-05 03:03:16,104 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.4)
2024-12-05 03:03:16,618 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.5)
2024-12-05 03:03:17,087 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.6)
2024-12-05 03:03:17,582 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.0)
2024-12-05 03:03:18,065 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.1)
2024-12-05 03:03:18,553 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.2)
2024-12-05 03:03:19,019 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.3)
2024-12-05 03:03:19,520 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.4)
2024-12-05 03:03:20,012 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.5)
2024-12-05 03:03:20,487 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.6)
2024-12-05 03:03:20,980 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.0)
2024-12-05 03:03:21,509 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.1)
2024-12-05 03:03:21,977 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.2)
2024-12-05 03:03:22,451 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.3)
2024-12-05 03:03:22,958 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.4)
2024-12-05 03:03:23,475 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.5)
2024-12-05 03:03:23,980 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.0)
2024-12-05 03:03:24,474 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.1)
2024-12-05 03:03:24,956 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.2)
2024-12-05 03:03:25,426 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.3)
2024-12-05 03:03:25,925 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.4)
2024-12-05 03:03:26,506 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy docker-compose.yml from template to each version directory] ********************************************************************************************************
2024-12-05 03:03:26,506 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.0)
2024-12-05 03:03:27,003 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.1)
2024-12-05 03:03:27,497 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.2)
2024-12-05 03:03:28,027 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.3)
2024-12-05 03:03:28,562 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.4)
2024-12-05 03:03:29,053 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.5)
2024-12-05 03:03:29,535 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.6)
2024-12-05 03:03:30,027 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.7)
2024-12-05 03:03:30,519 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.0)
2024-12-05 03:03:30,997 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.1)
2024-12-05 03:03:31,471 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.2)
2024-12-05 03:03:31,986 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.3)
2024-12-05 03:03:32,471 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.4)
2024-12-05 03:03:32,966 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.5)
2024-12-05 03:03:33,480 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.6)
2024-12-05 03:03:33,957 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.7)
2024-12-05 03:03:34,427 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.8)
2024-12-05 03:03:34,916 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.9)
2024-12-05 03:03:35,404 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.10)
2024-12-05 03:03:35,881 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.11)
2024-12-05 03:03:36,369 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.12)
2024-12-05 03:03:36,860 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.13)
2024-12-05 03:03:37,358 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.14)
2024-12-05 03:03:37,838 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.15)
2024-12-05 03:03:38,319 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.16)
2024-12-05 03:03:38,843 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.17)
2024-12-05 03:03:39,318 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.18)
2024-12-05 03:03:39,785 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.19)
2024-12-05 03:03:40,260 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.20)
2024-12-05 03:03:40,732 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.21)
2024-12-05 03:03:41,211 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.22)
2024-12-05 03:03:41,673 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.0)
2024-12-05 03:03:42,147 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.1)
2024-12-05 03:03:42,619 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.2)
2024-12-05 03:03:43,098 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.3)
2024-12-05 03:03:43,590 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.4)
2024-12-05 03:03:44,064 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.5)
2024-12-05 03:03:44,531 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.6)
2024-12-05 03:03:44,995 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.0)
2024-12-05 03:03:45,464 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.1)
2024-12-05 03:03:45,945 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.2)
2024-12-05 03:03:46,416 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.3)
2024-12-05 03:03:46,897 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.4)
2024-12-05 03:03:47,364 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.5)
2024-12-05 03:03:47,834 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.6)
2024-12-05 03:03:48,314 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.0)
2024-12-05 03:03:48,856 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.1)
2024-12-05 03:03:49,331 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.2)
2024-12-05 03:03:49,810 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.3)
2024-12-05 03:03:50,292 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.4)
2024-12-05 03:03:50,771 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.5)
2024-12-05 03:03:51,253 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.6)
2024-12-05 03:03:51,737 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.0)
2024-12-05 03:03:52,251 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.1)
2024-12-05 03:03:52,728 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.2)
2024-12-05 03:03:53,199 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.3)
2024-12-05 03:03:53,675 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.4)
2024-12-05 03:03:54,163 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.5)
2024-12-05 03:03:54,643 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.6)
2024-12-05 03:03:55,196 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.0)
2024-12-05 03:03:55,677 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.1)
2024-12-05 03:03:56,218 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.2)
2024-12-05 03:03:56,780 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.3)
2024-12-05 03:03:57,276 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.4)
2024-12-05 03:03:57,856 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.5)
2024-12-05 03:03:58,343 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.6)
2024-12-05 03:03:58,827 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.0)
2024-12-05 03:03:59,325 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.1)
2024-12-05 03:03:59,828 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.2)
2024-12-05 03:04:00,314 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.3)
2024-12-05 03:04:00,797 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.4)
2024-12-05 03:04:01,324 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.5)
2024-12-05 03:04:01,836 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.0)
2024-12-05 03:04:02,379 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.1)
2024-12-05 03:04:02,868 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.2)
2024-12-05 03:04:03,444 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.3)
2024-12-05 03:04:03,991 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.4)
2024-12-05 03:04:04,546 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy Dockerfile from template to each version directory] ****************************************************************************************************************
2024-12-05 03:04:04,547 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.0)
2024-12-05 03:04:05,104 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.1)
2024-12-05 03:04:05,643 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.2)
2024-12-05 03:04:06,205 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.3)
2024-12-05 03:04:06,722 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.4)
2024-12-05 03:04:07,256 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.5)
2024-12-05 03:04:07,774 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.6)
2024-12-05 03:04:08,294 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.7)
2024-12-05 03:04:08,789 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.0)
2024-12-05 03:04:09,277 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.1)
2024-12-05 03:04:09,792 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.2)
2024-12-05 03:04:10,316 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.3)
2024-12-05 03:04:10,803 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.4)
2024-12-05 03:04:11,292 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.5)
2024-12-05 03:04:11,778 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.6)
2024-12-05 03:04:12,257 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.7)
2024-12-05 03:04:12,762 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.8)
2024-12-05 03:04:13,235 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.9)
2024-12-05 03:04:13,708 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.10)
2024-12-05 03:04:14,180 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.11)
2024-12-05 03:04:14,666 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.12)
2024-12-05 03:04:15,147 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.13)
2024-12-05 03:04:15,629 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.14)
2024-12-05 03:04:16,104 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.15)
2024-12-05 03:04:16,579 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.16)
2024-12-05 03:04:17,066 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.17)
2024-12-05 03:04:17,541 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.18)
2024-12-05 03:04:18,010 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.19)
2024-12-05 03:04:18,495 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.20)
2024-12-05 03:04:18,972 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.21)
2024-12-05 03:04:19,483 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.22)
2024-12-05 03:04:19,948 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.0)
2024-12-05 03:04:20,425 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.1)
2024-12-05 03:04:20,907 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.2)
